木贼科	Equisetaceae
松叶蕨科	Psilotaceae
瓶尔小草科	Ophioglossaceae
合囊蕨科	Marattiaceae
紫萁科	Osmundaceae
膜蕨科	Hymenophyllaceae
罗伞蕨科	Matoniaceae
双扇蕨科	Dipteridaceae
里白科	Gleicheniaceae
海金沙科	Lygodiaceae
莎草蕨科	Schizaeaceae
双穗蕨科	Anemiaceae
槐叶蘋科	Salviniaceae
蘋科	Marsileaceae
伞序蕨科	Thyrsopteridaceae
柱囊蕨科	Loxsomataceae
垫囊蕨科	Culcitaceae
瘤足蕨科	Plagiogyriaceae
金毛狗科	Cibotiaceae
丝囊蕨科	Metaxyaceae
蚌壳蕨科	Dicksoniaceae
桫椤科	Cyatheaceae
袋囊蕨科	Saccolomataceae
花楸蕨科	Cystodiaceae
番茄蕨科	Lonchitidaceae
鳞始蕨科	Lindsaeaceae
凤尾蕨科	Pteridaceae
碗蕨科	Dennstaedtiaceae
冷蕨科	Cystopteridaceae
轴果蕨科	Rhachidosoraceae
肠蕨科	Diplaziopsidaceae
链脉蕨科	Desmophlebiaceae
半网蕨科	Hemidictyaceae
铁角蕨科	Aspleniaceae
岩蕨科	Woodsiaceae
球子蕨科	Onocleaceae
乌毛蕨科	Blechnaceae
蹄盖蕨科	Athyriaceae
金星蕨科	Thelypteridaceae
翼囊蕨科	Didymochlaenaceae
肿足蕨科	Hypodematiaceae
鳞毛蕨科	Dryopteridaceae
肾蕨科	Nephrolepidaceae
藤蕨科	Lomariopsidaceae
三叉蕨科	Tectariaceae
爬树蕨科	Arthropteridaceae
牙蕨科	Pteridryaceae
蓧蕨科	Oleandraceae
骨碎补科	Davalliaceae
水龙骨科	Polypodiaceae
