藻苔科	Takakiaceae
绢炭藓科	Flatbergiaceae
珠炭藓科	Ambuchananiaceae
泥炭藓科	Sphagnaceae
黑藓科	Andreaeaceae
黑真藓科	Andreaeobryaceae
四齿藓科	Tetraphidaceae
长台藓科	Oedipodiaceae
金发藓科	Polytrichaceae
烟杆藓科	Buxbaumiaceae
短颈藓科	Diphysciaceae
大蒴藓科	Gigaspermaceae
大帽藓科	Encalyptaceae
细蒴藓科	Disceliaceae
葫芦藓科	Funariaceae
美姿藓科	Timmiaceae
垂蒴藓科	Catoscopiaceae
对叶藓科	Distichiaceae
反纽藓科	Timmiellaceae
扭茎藓科	Flexitrichaceae
水石藓科	Scouleriaceae
木衣藓科	Drummondiaceae
虾藓科	Bryoxiphiaceae
羽杉藓科	Eustichiaceae
金芽藓科	Chrysoblastellaceae
假牛毛藓科	Pseudoditrichaceae
细蓑藓科	Micromitriaceae
无轴藓科	Archidiaceae
白发藓科	Leucobryaceae
细叶藓科	Seligeriaceae
石缝藓科	Saelaniaceae
缩叶藓科	Ptychomitriaceae
紫萼藓科	Grimmiaceae
花叶藓科	Calymperaceae
蔓枝藓科	Bryowijkiaceae
石南藓科	Aongstroemiaceae
背齿藓科	Hypodontiaceae
原丝藓科	Nanobryaceae
凤尾藓科	Fissidentaceae
水角藓科	Wardiaceae
双节藓科	Dicnemonaceae
曲尾藓科	Dicranaceae
绿绵藓科	Viridivelleraceae
瓶藓科	Amphidiaceae
光藓科	Schistostegaceae
树生藓科	Erpodiaceae
刺藓科	Rhachitheciaceae
小烛藓科	Bruchiaceae
牛毛藓科	Ditrichaceae
粗石藓科	Rhabdoweisiaceae
小曲尾藓科	Dicranellaceae
丛藓科	Pottiaceae
翠珠藓科	Pleurophascaceae
兜网藓科	Serpotortellaceae
寒藓科	Meesiaceae
壶藓科	Splachnaceae
珠藓科	Bartramiaceae
虎尾藓科	Hedwigiaceae
旋叶藓科	Helicophyllaceae
顶刺苞藓科	Rhacocarpaceae
凤羽藓科	Mitteniaceae
镰叶藓科	Phyllodrepaniaceae
提灯藓科	Mniaceae
美节藓科	Pulchrinodaceae
细口藓科	Leptostomaceae
真藓科	Bryaceae
木灵藓科	Orthotrichaceae
直齿藓科	Orthodontiaceae
桧藓科	Rhizogoniaceae
皱蒴藓科	Aulacomniaceae
树灰藓科	Hypnodendraceae
玉柏藓科	Pterobryellaceae
地柏藓科	Braithwaiteaceae
卷柏藓科	Racopilaceae
棱蒴藓科	Ptychomniaceae
孔雀藓科	Hypopterygiaceae
双短肋藓科	Saulomataceae
小黄藓科	Daltoniaceae
丽油藓科	Schimperobryaceae
油藓科	Hookeriaceae
白藓科	Leucomiaceae
茸帽藓科	Pilotrichaceae
硬叶藓科	Stereophyllaceae
碎米藓科	Fabroniaceae
棉藓科	Plagiotheciaceae
顶枝藓科	Acrocladiaceae
皮齿藓科	Lepyrodontaceae
灰带藓科	Catagoniaceae
刺芒藓科	Rutenbergiaceae
根碎米藓科	Rhizofabroniaceae
粗柄藓科	Trachylomataceae
蝎尾藓科	Scorpidiaceae
湿原藓科	Calliergonaceae
带藓科	Phyllogoniaceae
余齿藓科	Sorapillaceae
蕨藓科	Pterobryaceae
毛藓科	Prionodontaceae
腋苞藓科	Pterigynandraceae
隐蒴藓科	Cryphaeaceae
拟薄罗藓科	Pseudoleskeaceae
刺果藓科	Symphyodontaceae
蔓藓科	Meteoriaceae
瓦叶藓科	Miyabeaceae
柔齿藓科	Habrodontaceae
水藓科	Fontinalaceae
金毛藓科	Myuriaceae
塔藓科	Hylocomiaceae
青藓科	Brachytheciaceae
逆毛藓科	Antitrichiaceae
牛舌藓科	Anomodontaceae
鳞叶藓科	Taxiphyllaceae
灰藓科	Hypnaceae
鳞藓科	Theliaceae
异雄藓科	Heterocladiellaceae
万年藓科	Climaciaceae
毛锦藓科	Pylaisiadelphaceae
锦藓科	Sematophyllaceae
船叶藓科	Lembophyllaceae
折针藓科	Echinodiaceae
直列藓科	Orthostichellaceae
平藓科	Neckeraceae
纹罗藓科	Myriniaceae
柳叶藓科	Amblystegiaceae
绢藓科	Entodontaceae
异齿藓科	Regmatodontaceae
假细罗藓科	Pseudoleskeellaceae
垂枝藓科	Rhytidiaceae
薄罗藓科	Leskeaceae
金灰藓科	Pylaisiaceae
白齿藓科	Leucodontaceae
直喙藓科	Orthorrhynchiaceae
微蒴藓科	Microtheciellaceae
